SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","GEN 002","UNDERSTAND THE SELF",minor,3,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","GEN 003","Science, Technology, and Society",minor,3,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","MAT 152","Mathematics in the Modern World",minor,3,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1",HIS007,"Life and Works of Rizal",minor,3,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","MAT 171","Calculus 1 for Engineers",minor,4,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","CPE 034","Computer Engineering as a Discipline",core,1,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","CPE 035","Programming Logic and Design",core,2,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","NST 021","National Service Training Program 1",minor,3,COC-FAB-BSCPE1-01,"JUAN FACULTY",COC-FAB-BSCPE1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S1,"YEAR 1","GEN 002","UNDERSTAND THE SELF",minor,3,COC-FAB-BSCPE1-01,"PEDRO FACULTY",COC-FAB-BSCPE1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S1,"YEAR 1","GEN 003","Science, Technology, and Society",minor,3,COC-FAB-BSCPE1-01,"PEDRO FACULTY",COC-FAB-BSCPE1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM I","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S1,"YEAR 1","MAT 152","Mathematics in the Modern World",minor,3,COC-FAB-BSCPE1-01,"PEDRO FACULTY",COC-FAB-BSCPE1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
